Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Kyrgyzstan,181499,2676,175892.0,2931.0,27220,401,1779580.0,266891.0,6667825
Laos,41829,70,6558.0,35201.0,5640,9,651828.0,87889.0,7416475
Latvia,221795,3312,183973.0,34510.0,119354,1782,4985118.0,2682623.0,1858300
Lebanon,643047,8515,617459.0,17073.0,94781,1255,4780275.0,704580.0,6784572
Lesotho,21640,658,12549.0,8433.0,9996,304,239915.0,110819.0,2164934
Liberia,5815,287,5458.0,70.0,1115,55,128246.0,24586.0,5216145
Libya,358463,5139,300232.0,53092.0,51238,735,1798661.0,257098.0,6996021
Liechtenstein,3594,61,3471.0,62.0,93902,1594,49126.0,1283535.0,38274
Lithuania,412769,5936,364678.0,42155.0,154510,2222,5624925.0,2105557.0,2671466
Luxembourg,82082,848,79209.0,2025.0,128340,1326,3598337.0,5626199.0,639568
Madagascar,42898,958,41322.0,618.0,1498,33,249510.0,8712.0,28639677
Malawi,61802,2302,57716.0,1784.0,3123,116,426997.0,21578.0,19788684
Malaysia,2481339,29045,2385432.0,66862.0,75376,882,34481507.0,1047446.0,32919617
Maldives,88058,243,85942.0,1873.0,159166,439,1605027.0,2901109.0,553246
Mali,16148,568,14679.0,901.0,768,27,456469.0,21708.0,21027779
Malta,37702,462,36609.0,631.0,85084,1043,1211456.0,2733954.0,443115
Martinique,42634,670,104.0,41860.0,113728,1787,376921.0,1005455.0,374876
Mauritania,37435,798,36007.0,630.0,7779,166,486048.0,100997.0,4812513
Mauritius,18101,194,1854.0,16053.0,14201,152,358675.0,281404.0,1274589
Mayotte,20587,185,2964.0,17438.0,73110,657,176919.0,628288.0,281589
Mexico,3811793,288733,3175469.0,347591.0,29155,2208,11375069.0,87004.0,130741732
Moldova,340188,7870,318527.0,13791.0,84594,1957,2038693.0,506957.0,4021428
Monaco,3418,36,3351.0,31.0,86283,909,54960.0,1387388.0,39614
Mongolia,362772,1767,313256.0,47749.0,108331,528,4030048.0,1203452.0,3348739
Montenegro,145314,2113,138649.0,4552.0,231328,3364,822064.0,1308661.0,628172
Morocco,946543,14683,927428.0,4432.0,25245,392,10121237.0,269938.0,37494700
Mozambique,151316,1932,149248.0,136.0,4667,60,944063.0,29118.0,32421978
Myanmar,502024,18728,470793.0,12503.0,9145,341,4911010.0,89458.0,54897106
Namibia,128956,3556,124654.0,746.0,49555,1366,753341.0,289491.0,2602293
Nepal,813433,11427,792832.0,9174.0,27264,383,4435357.0,148658.0,29835947
Netherlands,2147473,18441,1989583.0,139449.0,124958,1073,17988698.0,1046734.0,17185545
New Caledonia,11052,267,55.0,10730.0,38221,923,42756.0,147861.0,289164
New Zealand,6832,28,4742.0,2062.0,1366,6,4162831.0,832217.0,5002100
Nicaragua,16699,207,4225.0,12267.0,2481,31,,,6729788
Niger,6399,216,6041.0,142.0,252,9,172497.0,6799.0,25372587
Nigeria,212150,2899,203524.0,5727.0,996,14,3298966.0,15492.0,212949088
North Macedonia,203298,7159,189264.0,6875.0,97586,3436,1390369.0,667401.0,2083260
Norway,210241,902,88952.0,120387.0,38380,165,8163052.0,1490188.0,5477868
Oman,304308,4111,299663.0,534.0,57637,779,25000000.0,4735112.0,5279706
Pakistan,1274578,28477,1223531.0,22570.0,5624,126,20923001.0,92329.0,226613299
Palestine,424153,4426,415103.0,4624.0,80645,842,2645456.0,502986.0,5259504
Panama,472877,7315,463542.0,2020.0,107340,1660,4085594.0,927404.0,4405410
Papua New Guinea,30035,385,27552.0,2098.0,3274,42,213608.0,23286.0,9173097
Paraguay,461132,16250,444597.0,285.0,63609,2242,1898864.0,261930.0,7249512
Peru,2202671,200300,,,65585,5964,19127782.0,569534.0,33584947
Philippines,2792656,43404,2708466.0,40786.0,25040,389,23037025.0,206558.0,111528092
Poland,3034668,77021,2717052.0,240595.0,80301,2038,22257660.0,588964.0,37791194
Portugal,1091592,18171,1041385.0,32036.0,107472,1789,19902849.0,1959529.0,10156955
Qatar,239508,611,237659.0,1238.0,85301,218,2841667.0,1012060.0,2807805
Réunion,54668,374,53879.0,415.0,60484,414,1279618.0,1415745.0,903848
Romania,1666097,48664,1429157.0,188276.0,87386,2552,14853914.0,779076.0,19066054
Russia,8593200,240871,7412631.0,939698.0,58850,1650,210100000.0,1438863.0,146018111
Rwanda,99765,1332,45515.0,52918.0,7456,100,3159475.0,236132.0,13380137
S. Korea,370640,2892,336548.0,31200.0,7221,56,15804065.0,307902.0,51328165
Saint Lucia,12586,258,11994.0,334.0,68125,1396,86856.0,470132.0,184748
Saint Martin,3872,56,1399.0,2417.0,97911,1416,54303.0,1373160.0,39546
San Marino,5509,92,5383.0,34.0,161906,2704,82601.0,2427585.0,34026
Sao Tome and Principe,3715,56,3621.0,38.0,16541,249,14689.0,65404.0,224588
Saudi Arabia,548711,8798,537653.0,2260.0,15440,248,30389463.0,855140.0,35537427
Senegal,73922,1878,72028.0,16.0,4265,108,842110.0,48587.0,17331875
Serbia,1155756,10078,1007042.0,138636.0,132994,1160,6357224.0,731530.0,8690309
Seychelles,22220,119,21952.0,149.0,224082,1200,21504.0,216862.0,99160
Sierra Leone,6396,121,4393.0,1882.0,781,15,160729.0,19617.0,8193326
Singapore,204340,430,173168.0,30742.0,34565,73,20982378.0,3549234.0,5911804
Sint Maarten,4501,75,4400.0,26.0,103409,1723,62056.0,1425723.0,43526
Slovakia,487916,13076,426658.0,48182.0,89310,2393,3977948.0,728138.0,5463177
Slovenia,338244,4766,305410.0,28068.0,162670,2292,1737313.0,835520.0,2079320
Somalia,21269,1180,9927.0,10162.0,1290,72,239292.0,14517.0,16483927
South Africa,2922391,89197,2814654.0,18540.0,48459,1479,18578882.0,308072.0,60307009
South Sudan,12421,133,12008.0,280.0,1093,12,247059.0,21731.0,11368953
Spain,5016968,87423,4873705.0,55840.0,107248,1869,66213858.0,1415462.0,46778986
Sri Lanka,542212,13770,513540.0,14902.0,25180,639,5381256.0,249905.0,21533228
St. Vincent Grenadines,5012,69,3914.0,1029.0,44987,619,86787.0,778981.0,111411
Sudan,40238,3099,32905.0,4234.0,890,69,238579.0,5277.0,45214069
Suriname,49119,1094,29480.0,18545.0,82740,1843,147760.0,248900.0,593652
Sweden,1174273,15006,1139303.0,19964.0,115312,1474,13277086.0,1303797.0,10183401
Switzerland,879049,11275,830374.0,37400.0,100587,1290,11740855.0,1343474.0,8739174
Syria,43666,2574,26468.0,14624.0,2417,142,103566.0,5732.0,18067312
Taiwan,16428,847,15474.0,107.0,688,35,7566561.0,316932.0,23874393
Tajikistan,17086,124,16960.0,2.0,1739,13,,,9823255
Tanzania,26154,725,,,422,12,,,62000668
Thailand,1935442,19394,1818463.0,97585.0,27636,277,14913135.0,212941.0,70034066
Timor-Leste,19790,122,19636.0,32.0,14638,90,169501.0,125376.0,1351941
Togo,26086,242,25632.0,212.0,3056,28,550874.0,64525.0,8537376
Trinidad and Tobago,57713,1720,51095.0,4898.0,41061,1224,401791.0,285861.0,1405545
Tunisia,712880,25250,686340.0,1290.0,59487,2107,3080602.0,257065.0,11983766
Turkey,8091462,71052,7549258.0,471152.0,94581,831,97682867.0,1141809.0,85550957
UAE,740057,2137,734348.0,3572.0,73638,213,93957394.0,9349041.0,10049950
Uganda,126272,3217,96727.0,26328.0,2649,67,1811360.0,38002.0,47664404
UK,9130857,140964,7426086.0,1563807.0,133565,2062,335303024.0,4904780.0,68362503
Ukraine,2979086,69447,2466674.0,442965.0,68670,1601,14586038.0,336220.0,43382373
Uruguay,394248,6080,385851.0,2317.0,112971,1742,3851003.0,1103496.0,3489819
USA,46999771,768847,37009990.0,9220934.0,140888,2305,703435530.0,2108645.0,333596010
Uzbekistan,186793,1329,182824.0,2640.0,5475,39,1377915.0,40388.0,34116629
Venezuela,408727,4915,393040.0,10772.0,14428,174,3359014.0,118575.0,28328211
Vietnam,932357,22205,824806.0,85346.0,9465,225,60535102.0,614517.0,98508358
Yemen,9806,1894,6458.0,1454.0,319,62,265253.0,8640.0,30701818
Zambia,209760,3661,205984.0,115.0,11000,192,2606571.0,136686.0,19069835
Zimbabwe,133047,4683,127779.0,585.0,8781,309,1514527.0,99958.0,15151708
